Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,SFE_Surveyor_220627_170303.pos,-1402.2737802040800,0.03222239494752630,0.00350000000000001,2377.581891632650,0.04127679115588410,0.004599999999999980,-8.931982653061220,0.004344825696076280,0.012176530612245000
LPDA 1,SFE_Surveyor_220627_170452.pos,-1399.733865714290,0.0113595443433044,0.0035000000000000000,2390.6184457142900,0.012235132639635000,0.004600000000000010,-8.991520000000000,0.0031498818066212400,0.012150000000000000
LPDA 2,SFE_Surveyor_220627_170623.pos,-1402.5389405263200,0.0050738972776263300,0.0034999999999999900,2390.7997678947400,0.004974067224180290,0.004600000000000020,-9.048647368421050,0.0031487745867146000,0.012140000000000000
LPDA 3,SFE_Surveyor_220627_170812.pos,-1405.620516666670,0.005672826020255000,0.0034700000000000000,2390.971776666670,0.012670926200824200,0.004609999999999990,-9.03314333333333,0.003514146371325620,0.0121
LPDA 4,SFE_Surveyor_220627_170956.pos,-1409.7117301225900,0.010412155673747800,0.003449912434325770,2399.1589824868600,0.007354643463256660,0.004632574430823110,-8.925469877408050,0.003277296139341810,0.012075306479859900
LPDA 5,SFE_Surveyor_220627_171133.pos,-1408.5808146428600,0.2470575510362340,0.005940357142857100,2401.5308526785700,0.04483293647720530,0.00812285714285711,-9.109266071428580,0.20919701653450000,0.019574642857142900
LPDA 6,SFE_Surveyor_220627_171402.pos,-1406.805695517240,0.05053901244724680,0.004358965517241360,2404.3173572413800,0.025274664872255100,0.005949310344827590,-8.992454137931040,0.04617660097525550,0.014554137931034500
LPDA 7,SFE_Surveyor_220627_171537.pos,-1398.11422625,0.0044580633659698900,0.003426249999999990,2403.58558,0.004016443190132070,0.004744166666666670,-9.071820000000000,0.003795804775171270,0.011993750000000000
LPDA 8,SFE_Surveyor_220627_171713.pos,-1396.9441125475300,0.006468652201748370,0.003420722433460100,2401.4886165399200,0.012458084091990400,0.004799999999999960,-9.044216159695820,0.003489890881794120,0.011980038022813600
LPDA 9,SFE_Surveyor_220627_171842.pos,-1395.3885328571400,0.00759706838153923,0.003420000000000020,2399.1689883928600,0.010788673792764300,0.004803035714285670,-9.051834107142870,0.005218581523660450,0.011968928571428500
Helper C,SFE_Surveyor_220627_172039.pos,-1384.691329501920,0.012691190112412300,0.0034306513409961900,2408.3508268199200,0.020507312703537400,0.005427969348659000,-9.062818582375490,0.0036402447005339200,0.01347126436781600
Helper B,SFE_Surveyor_220627_172254.pos,-1419.6898605357100,0.08950693038237370,0.005598750000000010,2407.826078928570,0.1653415629397020,0.0089882142857142,-8.831085535714280,0.5566513476258430,0.021906250000000000
Surface Pulser,SFE_Surveyor_220627_172445.pos,-1402.9409922727300,0.014613743159377000,0.003440909090909100,2407.5453493181800,0.01876713065856960,0.005503409090909110,-9.059576363636360,0.0038481881018229700,0.013362954545454600
Solar Panel A1,SFE_Surveyor_220627_172632.pos,-1406.818387429640,0.1777731694753040,0.02519718574108820,2398.330842589120,0.12788657894295900,0.04605966228893060,-12.024226266416500,0.24414166713628900,0.10055290806754200
Solar Panel A2,SFE_Surveyor_220627_172807.pos,-1406.2726180076600,0.13007043072726100,0.027185440613026800,2395.9255252873600,0.2820577105233170,0.058004406130268200,-15.524076819923400,1.0807954409958400,0.12316034482758600
Solar Panel B1,SFE_Surveyor_220627_172946.pos,-1399.8356289285700,0.34537930115470900,0.024909642857142900,2400.1356419642900,0.46836099268640600,0.041278214285714300,-6.825891250000000,0.8141280466410640,0.10700946428571400
Solar Panel B2,SFE_Surveyor_220627_173119.pos,-1399.8568471428600,0.16803847350706200,0.024984285714285700,2398.265096607140,0.1594050111302700,0.045092857142857100,-12.891147142857100,0.44730534102944500,0.10899232142857100
DAQ NW,SFE_Surveyor_220627_173310.pos,-1403.2188225925900,0.01787110749399720,0.003500000000000020,2398.922272037040,0.01022613224193310,0.005705000000000020,-9.047572222222230,0.007491145463725100,0.013119814814814800
DAQ SE,SFE_Surveyor_220627_173515.pos,-1401.582674411760,0.016105169417107000,0.003499999999999990,2397.3695691176500,0.010700253041329400,0.005780882352941200,-9.21195441176471,0.005323073663052180,0.01306676470588230
ApRes Rx,SFE_Surveyor_220627_173745.pos,-1422.643111001640,0.13309827379540900,0.022362889983579600,2363.7353614121500,0.09970692252786100,0.03644794745484400,-9.589025944170770,0.6945592675230170,0.0775648604269294
ApRes Tx,SFE_Surveyor_220627_173933.pos,-1427.990556106200,0.07558272617106140,0.023083539823008900,2369.9429561061900,0.05798781437523200,0.03794159292035400,-9.937247964601770,0.45458597991862900,0.08022938053097350